# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1030
#@/user_id	.backup
a 	啊	c=5 d=4.90637 t=1030
zhu ce 	註冊	c=4 d=0.372576 t=1030
zhu shi 	註釋	c=4 d=2.06266 t=1030
zhu xiao 	註銷	c=4 d=0.373778 t=1030
zhu zhang hu 	主賬戶	c=1 d=0.0977834 t=1030
zhuan 	磚	c=2 d=0.887496 t=1030
zhuan huan 	轉換	c=1 d=0.0309433 t=1030
zhuan men 	專門	c=2 d=0.20102 t=1030
zhuan yi 	轉義	c=1 d=1.099 t=1030
zhuang 	裝	c=1 d=0.557832 t=1030
zhuang bu shang qu 	裝不上去	c=1 d=0.489192 t=1030
zhuang tai 	狀態	c=2 d=1.18607 t=1030
zhun bei 	準備	c=8 d=2.34442 t=1030
zhun kao zheng 	准考證	c=4 d=0.216018 t=1030
zhun mei 	準沒	c=1 d=0.535261 t=1030
zhuo 	卓	c=1 d=0.496585 t=1030
zi 	子	c=3 d=1.99433 t=1030
zi 	自	c=3 d=1.85788 t=1030
zi ben 	資本	c=0 d=0.00395575 t=1030
zi dai 	自帶	c=2 d=1.19202 t=1030
zi dian 	字典	c=1 d=0.540317 t=1030
zi ding 	自定	c=1 d=1 t=1030
zi ding yi 	自定義	c=1 d=1.099 t=1030
zi dong 	自動	c=9 d=0.634356 t=1030
zi dong shu ru 	自動輸入	c=1 d=0.57695 t=1030
zi fu 	字符	c=4 d=1.94266 t=1030
zi fu zhuan yi 	字符轉義	c=1 d=1 t=1030
zi ji 	自己	c=3 d=1.1783 t=1030
zi ji de 	自己的	c=1 d=0.375311 t=1030
zi liao 	資料	c=1 d=0.25966 t=1030
zi shen 	自身	c=1 d=0.431452 t=1030
zi ti 	字體	c=6 d=3.31464 t=1030
zi xi tong 	子系統	c=2 d=0.167906 t=1030
zi xun 	諮詢	c=2 d=0.0573059 t=1030
zi yong 	自用	c=2 d=1.8233 t=1030
zi zhang hu 	子賬戶	c=1 d=1 t=1038
zi zhang hu 	自賬戶	c=1 d=1 t=1037
zi zhang sheng 	自掌聲	c=1 d=1 t=1036
zi zhi 	自製	c=2 d=1.344 t=1030
zu 	組	c=2 d=1.67473 t=1030
zu zhuang 	組裝	c=2 d=0.733923 t=1030
zui 	最	c=2 d=0.189313 t=1030
zui duo 	最多	c=1 d=0.453573 t=1030
zuo liao 	佐料	c=0 d=0.0239309 t=1030
zuo shen me 	做什麼	c=3 d=0.191105 t=1030
zuo wei 	作爲	c=2 d=1.8311 t=1030
